message_id         , created_at                      , channel      , author_name  , author_id          , content                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , is_reply, reply_to_id        , mentions , num_chars, num_words, tickers_detected                                                                                                                                                                                                                                                                                                                                            , tweet_urls, sentiment_score
1364636677842145360, 2025-04-23T16:18:57.721000+00:00, trading-picks, qmy.y        ,  419660638881579028, !history 200                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , False   ,                    ,          ,        12,         2,                                                                                                                                                                                                                                                                                                                                                             ,           , 
1328093677377028287, 2025-01-12T20:10:07.474000+00:00, trading-picks, qmy.y        ,  419660638881579028, "## Top Positions:
                                                                                                          *Ranked by Tiers + Relative price range..*
                                                                                                          ### Tier One
                                                                                                          AMZN (~4 shares @200-220)
                                                                                                          NVDA (~5 shares @115-125)
                                                                                                          DKNG (~5 shares @26-41)
                                                                                                          HOOD (~5 shares @27-37)
                                                                                                          MSFT (~2 shares @415-435)
                                                                                                          GOOGL (~3 shares @170-190)
                                                                                                          PLTR (~2 shares @66-76)
                                                                                                          META (Waiting for low $600’s)
                                                                                                          FLUT (~1.5 shares @230-255)
                                                                                                          TSLA (1 share @390 limit)
                                                                                                          QQQ (~1 share @497-507)
                                                                                                          VOO (~1 share @496-522)
                                                                                                          
                                                                                                          ### Tier Two
                                                                                                          HIMS (~5 shares @17-27)
                                                                                                          COIN (~2 shares @200-257)
                                                                                                          SNOW (~2 shares @140-160)
                                                                                                          TSM (~2 shares @180-200)
                                                                                                          AFRM (~3 shares @55-60)
                                                                                                          AMD (~4 shares @114-120)
                                                                                                          MDB (~1 share @240-265)
                                                                                                          
                                                                                                          ### Tier Three
                                                                                                          PENN (~5 shares @18-19.99)
                                                                                                          GTLB (~2 shares @53-63)
                                                                                                          MSTR (~1 share @289-320)
                                                                                                          BABA (~1 share @90ish)
                                                                                                          XYZ (~1 share @82-85)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , False   ,                    ,          ,       707,       117,                                                                                                                                                                                                                                                                                                                                                             ,           , 
1334784016007692349, 2025-01-31T07:15:08.504000+00:00, trading-picks, qmy.y        ,  419660638881579028, **MSFT **bought some today and will be buying more tomorrow at lows under 416-417                                                                                                                                                                                                                                                                                                                                                                                                                                                             , True    , 1328093677377028287,          ,        81,        14,                                                                                                                                                                                                                                                                                                                                                             ,           , 
1334784518942359572, 2025-01-31T07:17:08.413000+00:00, trading-picks, qmy.y        ,  419660638881579028, "Same with Nvidia, anything under $119"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , False   ,                    ,          ,        37,         6,                                                                                                                                                                                                                                                                                                                                                             ,           , 
1336085952090865725, 2025-02-03T21:28:34.255000+00:00, trading-picks, qmy.y        ,  419660638881579028, "# Feb. Daily Moves
                                                                                                          Set Up Stop Loss
                                                                                                          - PLTR (road to 1T mktcap)
                                                                                                          MSTR Shorts - Buy the Dip...
                                                                                                          Buy a little $BABA
                                                                                                          $$Flutter post earnings price- buy??
                                                                                                          buy more inverse gold
                                                                                                          SOFI  calls @25 + SOFI buys
                                                                                                          $MU, $ASML, $LRCX
                                                                                                          $RDDT dca 25bn mktcap or less
                                                                                                          Buying $SQ at anything under $90/ $120 calls
                                                                                                          $TSLA dips
                                                                                                          QXO!!!!!!! (UNDER 15.77)
                                                                                                          Solar and nuclear leaders? (gas/oil futures?? /// Gas and Oil stocks and etfs// Energy targets??)
                                                                                                          At&t?
                                                                                                          Nuclear - $NNE $SMR $OKLO $CEG
                                                                                                          Robotics- $RR $SPPL ( @ZaStocks sick call last week) $MBOT
                                                                                                          Aerospace ($RKLB, $JOBY, $RCAT), Cybersecurity ($HACK, $S, $ZS), Renewable Energy ($ENPH)
                                                                                                          
                                                                                                          Selling off $VSH down to ~10 shares
                                                                                                          Follow up on DKNG calls for ~50 lower than prev close
                                                                                                          Flutter long calls
                                                                                                          
                                                                                                          Closed end funds ( OXLC, CLM, CRF, GOF, SRV, BRW and PDI)
                                                                                                          Gas/oil futures, gas/oil stocks and ETFs, energy targets (e.g., $VIST, $SDRL)
                                                                                                          
                                                                                                          Spotify (hedge with apple ?)
                                                                                                          Look for a way to Invest in Title and Travel Insurance companies
                                                                                                          
                                                                                                          ### Value Opps:
                                                                                                          Paypal (<$70), LVMH, ASML, DEO/ABI, Clorox (@160s)
                                                                                                          Tech/Cloud: $MU, $ASML, $LRCX, $CFLT, $TEAM
                                                                                                          Patient Capital: $QXO (<15.77), RPRX (@28.29)
                                                                                                          - FLOT (iShares Floating Rate Bond ETF).
                                                                                                          - JPM, Credit, BAC?
                                                                                                          - Treasury Inflation-Protected Securities
                                                                                                          - Stocks to consider with big inflows: $VIST, $TEM, $MELI, $NU, $TMDX (@61.34), $GRAB (@4.77)
                                                                                                          
                                                                                                          Databricks (through forge -Asset backed sec)
                                                                                                          DEO, ABI (alcohol downtrend real or temporary?)
                                                                                                          $HITI, $HUBC, $SOBR, $RR, $HOLO, $IONQ, $TTD
                                                                                                          
                                                                                                          ### Shorts
                                                                                                          AMEX Short
                                                                                                          - Short Bonds - TBT (ProShares UltraShort 20+ Year Treasury) or TMV (Direxion Daily 20+ Year Treasury Bear 3X Shares)
                                                                                                          - Buy put options on long-duration bond ETFs (e.g., TLT).
                                                                                                          - SRS (ProShares UltraShort Real Estate).
                                                                                                          - DUST (Direxion Daily Gold Miners Bear 2X Shares).
                                                                                                          
                                                                                                          Shorting $RDDT a month before earnings - - Selling covered calls
                                                                                                          $APP shorts.
                                                                                                          BTC shorts with OCT 2025 Expiration."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , False   ,                    ,          ,      1855,       305, "$BABA, $MU, $ASML, $LRCX, $RDDT, $SQ, $TSLA, $NNE, $SMR, $OKLO, $CEG, $RR, $SPPL, $MBOT, $RKLB, $JOBY, $RCAT, $HACK, $ZS, $ENPH, $VSH, $VIST, $SDRL, $MU, $ASML, $LRCX, $CFLT, $TEAM, $QXO, $VIST, $TEM, $MELI, $NU, $TMDX, $GRAB, $HITI, $HUBC, $SOBR, $RR, $HOLO, $IONQ, $TTD, $RDDT, $APP"                                                              ,           , 
1336374357844295821, 2025-02-04T16:34:35.545000+00:00, trading-picks, qmy.y        ,  419660638881579028, "~~- Loading GOOGLE on the next dip ~190 (iRA)~~
                                                                                                          - PLTR ~70-80
                                                                                                          - Adding AMD on dip
                                                                                                          - Bad SoFi sentiment
                                                                                                          - Top Weed stocks??
                                                                                                          - SHORTS MSTR with SMST
                                                                                                          - Buy $Ford? Near 52week lows// $13calls?
                                                                                                          - Buying apple on dips
                                                                                                          - short robinhood pre earnings
                                                                                                          - shorting bad companies before next week earnings
                                                                                                          - Buy Grab on mkt correction
                                                                                                          - Increase PLTR stake to SNOW levels
                                                                                                          - long term robinhood for ai announcements at events this year
                                                                                                          ~~- BUY GOOGLE and google 200-210 calls~~"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , True    , 1336085952090865725,          ,       464,        86,                                                                                                                                                                                                                                                                                                                                                             ,           , 
1336428232446181426, 2025-02-04T20:08:40.251000+00:00, trading-picks, qmy.y        ,  419660638881579028, "<@&1319363996478078976>  Calls depending on good $AMD earnings, otherwise holding until nvidia earnings 2/26, should offset deepseek worries…
                                                                                                          1.    NVDA $260 Call - 2/28, 1 contract, $0.01 limit
                                                                                                          2.    NVDA $280 Call - 3/21, 2 contracts, $0.02 limit
                                                                                                          3.    NVDA $250 Call - 3/21, 1 contract, $0.05 limit
                                                                                                          4.    NVDA $225 Call - 3/7, 1 contract, $0.05 limit
                                                                                                          5.    NVDA $167.5 Call - 2/14, 1 contract, $0.04 limit
                                                                                                          6.    NVDA $155 Call - 2/14, 1 contract, $0.10 limit
                                                                                                          7.    NVDA $200 Call - 2/21, 2 contracts, $0.02 limit
                                                                                                          8.    RIOT $4 Put - 3/21, 1 contract, $0.02 limit
                                                                                                          9.    AMD $290 Call - 3/21, 1 contract, $0.04 limit"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , False   ,                    ,          ,       653,       107, $AMD                                                                                                                                                                                                                                                                                                                                                        ,           , 
1338557482871685181, 2025-02-10T17:09:33.112000+00:00, trading-picks, qmy.y        ,  419660638881579028, "Todays Orders :
                                                                                                          NFLX 3/21 $1,400 Call – Buy to Open @ $0.08 limit
                                                                                                          NFLX 3/21 $1,400 Call – Buy to Open @ $0.05 limit
                                                                                                          FLUT 3/21 $350 Call – Buy to Open @ $0.10 limit
                                                                                                          GOOGL 4/17 $290 Call – Buy to Open @ $0.07 limit
                                                                                                          GOOGL 4/17 $295 Call – Buy to Open @ $0.06 limit
                                                                                                          AMD 2/14 $97 Put – Buy to Open @ $0.04 limit
                                                                                                          HOOD 2/14 $39.5 Put – Sell to Close @ $0.29 limit
                                                                                                          HOOD 2/14 $38 Put – Buy to Open @ $0.04 limit"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , False   ,                    ,          ,       404,        91,                                                                                                                                                                                                                                                                                                                                                             ,           , 
1338623039977554003, 2025-02-10T21:30:03.144000+00:00, trading-picks, qmy.y        ,  419660638881579028, "**2/10/2025**
                                                                                                          ~~- GOOGL good time to buy~~
                                                                                                          - Look into:
                                                                                                          $NKE
                                                                                                          $BABA
                                                                                                          $AMD
                                                                                                          $PFE
                                                                                                          $OSCR
                                                                                                          - Two B2Back 20% years, needs a little correction (shift to small caps??)
                                                                                                          - Crypto looking super weak, consider Kalashi action
                                                                                                          - $SOLANA holding trendlines
                                                                                                          
                                                                                                          -ALAB buying  around $90-$100
                                                                                                          - IONQ & GD, which one is bound for a rip?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , True    , 1336374357844295821,          ,       313,        55, "$NKE, $BABA, $AMD, $PFE, $OSCR, $SOLANA"                                                                                                                                                                                                                                                                                                                   ,           , 
1339349330225790999, 2025-02-12T21:36:04.233000+00:00, trading-picks, qmy.y        ,  419660638881579028, "**2/13/2025**
                                                                                                          
                                                                                                          - ALGS Research
                                                                                                          - MRNA CALLS?
                                                                                                          
                                                                                                          - $FLutter calls/ eating DK lunch? (Ireland/Uk company?)
                                                                                                          
                                                                                                          - **GRAB calls for earnings **
                                                                                                          - $GRAB buy!! +Roth
                                                                                                          - $SOFI in ROTH"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , False   ,                    ,          ,       171,        29, "$FL, $GRAB, $SOFI"                                                                                                                                                                                                                                                                                                                                         ,           , 
